question,answer
Define the equivalence of matrices.,"Two matrices A and A˜ are equivalent if there exist regular matrices S and T such that A˜ = T−1AS. This implies a similarity in the linear transformations they represent, up to a change of basis."
What is 'K-means clustering' in machine learning?,"K-means clustering in machine learning is a type of unsupervised learning, which is used when you have unlabeled data, to find hidden patterns or grouping in data."
What does the term 'model' refer to in machine learning?,"In machine learning, a model refers to a mathematical representation of a real-world process used to make predictions or decisions without being explicitly programmed to perform the task."
What mathematical concept allows the analytical solving of equation Ax = b for many values of A?,Matrix inversion is the mathematical concept that allows the analytical solving of equation Ax = b for many values of A.
"In AAAMLP, what is the purpose of resetting the index when creating the training and validation data in train.py?","Resetting the index ensures that the indices of the training and validation data are continuous and start from 0, which is a common practice to avoid potential issues with misaligned indices."
What achievement was made by DeepMind in gaming AI?,DeepMind developed an AI agent that surpassed human performance in 49 Atari games and later improved it with their A3C gameplay method.
What does it mean when a solution to a system of linear equations is scaled by any scalar value?,"When a solution to a system of linear equations is scaled by any scalar value, it means that the solution vector can be multiplied by any real number, and the resulting vector will still satisfy the system. This property is indicative of an underdetermined system with infinitely many solutions."
What is the span of a set of vectors?,The span of a set of vectors is the set of all points obtainable by linear combination of the original vectors.
How is a multivariate normal distribution characterized?,"A multivariate normal distribution is characterized by properties such as affine combinations being normal, marginal distributions being normal, and conditional distributions being normal."
What are support vector machines (SVMs)?,"SVMs are a type of parametric model used for classification, like distinguishing between images or categorizing reviews."
What is 'momentum' in the context of gradient descent algorithms?,"Momentum in gradient descent algorithms is a technique to accelerate the convergence of the algorithm, particularly in the relevant direction and dampen oscillations."
Why do we need to 'disentangle' the factors of variation in AI applications?,Disentangling the factors of variation is necessary to discard the ones that are irrelevant for the task at hand and focus on the important features.
What is the role of gradient descent in linear regression?,Gradient descent is used to find the minimum of the loss function by iteratively adjusting the model parameters.
What is 'overfitting' and how can it be prevented?,"Overfitting occurs when a machine learning model learns the training data too well, including its noise and details, reducing its performance on new data. It can be prevented by techniques like cross-validation, regularization, and pruning in decision trees."
What is 'natural language processing' (NLP) in machine learning?,"Natural language processing (NLP) in machine learning is a field of computer science, artificial intelligence, and linguistics concerned with the interactions between computers and human languages."
What are 'reinforcement learning' algorithms?,Reinforcement learning algorithms are a type of machine learning where an agent learns to make decisions by performing actions and receiving feedback in the form of rewards or penalties.
What is 'model evaluation' in machine learning?,"Model evaluation in machine learning refers to the process of determining how well a model performs in terms of accuracy, generalizability, and efficiency."
What is the command to execute a shell script that contains different commands for different folds in AAAMLP?,The command to execute such a shell script is 'sh run.sh'.
Why would one use weighted precision instead of macro precision?,"One would use weighted precision instead of macro precision when the class distribution is imbalanced, as it accounts for the prevalence of each class by weighting the precision accordingly【41†source】."
What is 'multiclass classification' in machine learning?,"Multiclass classification in machine learning is a problem where there are more than two classes to be predicted, and the model must classify inputs into one of these multiple categories."
What is the kernel of a linear map?,The kernel of a linear map is the set of vectors that map to the zero vector under that map.
What is the significance of stochastic gradient descent in machine learning?,"Stochastic gradient descent is a key training algorithm for deep learning models, adapted from early learning algorithms like ADALINE."
Can you validate the correctness of your own weighted precision function against scikit-learn?,"Yes, you can validate the correctness of your own weighted precision function against scikit-learn by comparing the output of your function to the output of the 'precision_score' function from scikit-learn with the 'average' parameter set to 'weighted'【41†source】."
What are 'convolutional neural networks' (CNNs) in deep learning?,"Convolutional neural networks (CNNs) in deep learning are a class of deep neural networks, most commonly applied to analyzing visual imagery."
What is an example of a normal linear model?,"An example of a normal linear model is a linear model with normal error terms, where the response Y depends on a p-dimensional explanatory variable x."
What is the concept of a vector dot product?,The dot product of two vectors is the sum of the products of their corresponding components.
What shape will the product matrix C have if matrix A is of shape m x n and matrix B is of shape n x p?,The product matrix C will be of shape m x p.
How do you compute weighted precision?,"Weighted precision is computed by finding the precision for each class, multiplying it with the count of samples in that class, and then adding these weighted precisions to calculate the overall precision, which is then divided by the total number of samples【44†source】."
What is the eigenvalue decomposition?,"Eigenvalue decomposition is the factorization of a matrix into a canonical form, whereby the matrix is represented in terms of its eigenvalues and eigenvectors."
What is a random variable?,A random variable is a variable that can take on different values randomly.
What is 'root mean squared error' (RMSE) in machine learning?,Root mean squared error (RMSE) in machine learning is a square root of the average of squared differences between prediction and actual observation.
What is 'data augmentation' in machine learning?,"Data augmentation in machine learning involves increasing the diversity of data available for training models, without actually collecting new data, by transforming existing data."
What is the role of the prior in Bayesian learning?,"In Bayesian learning, the prior reflects our a priori beliefs about a parameter and is used to form the posterior pdf for inference about the parameter."
"How does the author of AAAMLP suggest handling the hardcoded elements such as fold numbers, training file, and the output folder in a training script?","The author suggests creating a configuration file named config.py that contains this information, to make it easier to change data or the model output path."
What does figure 1 in the chapter illustrate?,Figure 1 in the chapter shows a supervised dataset where every row of the data is associated with a target or label.
How are supervised and unsupervised data differentiated in machine learning?,"Supervised data always has one or multiple targets associated with it, whereas unsupervised data does not have any target variable."
Define an affine subspace in the context of vector spaces.,An affine subspace is a subset of a vector space that can be obtained by translating a linear subspace by a fixed vector. It is no longer a vector subspace if the translation is non-zero.
How is the model output directory specified in the training script according to AAAMLP?,The model output directory is specified in the config.py file and is used in the training script through the 'config.MODEL_OUTPUT' variable.
Why is deep learning suitable for various AI tasks?,Deep learning's ability to learn multiple levels of representation makes it suitable for a wide range of AI tasks.
What is the 'bias-variance tradeoff' in machine learning?,The bias-variance tradeoff in machine learning is the balance between the model's error from incorrect assumptions (bias) and error from sensitivity to small fluctuations in the training set (variance).
Why do we use only two components in the t-SNE decomposition for visualizing the MNIST dataset?,We use only two components in the t-SNE decomposition because they can be visualized well in a two-dimensional setting.
What is artificial narrow intelligence (ANI)?,"Artificial narrow intelligence (ANI) effectively performs narrowly defined tasks, such as language translation or game playing."
What is a posterior in Bayesian learning?,"A posterior in Bayesian learning is a pdf that is proportional to the product of the prior and the likelihood, used for inference about a parameter."
What is the main principle of a normal linear model?,"A normal linear model is a linear model with normal error terms, where the response Y depends on a p-dimensional explanatory variable x via a linear relationship."
What milestone did DeepMind achieve with its AI agent?,"DeepMind developed an AI agent that exceeded human performance in 49 Atari games, using only pixels and game scores as inputs."
What are some key concerns and considerations about AI's future impact?,"Concerns include AI's potential to entrench biases, disagreements on AI risks and benefits, and the impact of AI on human sense of purpose."
What are some examples of qualitative features in the 'nutri' data frame?,"Qualitative features in the 'nutri' data frame include gender, situation, and types of fat used for cooking."
What is the MNIST dataset?,The MNIST dataset is a popular dataset of handwritten digits used in supervised machine learning.
How can unsupervised machine learning problems be more challenging than supervised ones?,"Unsupervised machine learning problems are more challenging because they do not have a target associated with them, making them difficult to evaluate and require more human interference or heuristics."
What is 'mean squared error' (MSE) in machine learning?,"Mean squared error (MSE) in machine learning is a measure of the average of the squares of the errors—that is, the average squared difference between the estimated values and the actual value."
How is conditional probability defined?,"Conditional probability is the probability of some event given that some other event has already occurred, and it is calculated using the formula in which conditional probability is the joint probability divided by the marginal probability of the preconditioning event, provided that the marginal probability is greater than zero【25†source】."
What are some suggested ways to approach reading 'Machine Learning for Humans'?,"The book can be read from start to finish, focusing on specific sections of interest, or skimmed for high-level concepts, depending on the reader's preference."
Explain the concept of a vector cross product.,The cross product of two vectors is a vector that is perpendicular to both and has a magnitude equal to the area of the parallelogram they span.
What is the structure of a multilayer perceptron (MLP)?,The function of a multilayer perceptron is formed by composing many simpler functions.
What is the purpose of a test set in machine learning?,"The purpose of a test set in machine learning is to evaluate the performance of a model on new, unseen data, reflecting its likely performance in the real world."
Is the standard product of two matrices a matrix containing the products of the individual elements?,"No, the standard product of two matrices is not a matrix containing the products of the individual elements. That operation is known as the element-wise or Hadamard product."
Define a singular matrix.,A singular matrix is a square matrix that does not have an inverse.
What is the Neocognitron?,"The Neocognitron is a hierarchical, multilayered artificial neural network that was a precursor to modern convolutional neural networks."
Why are certain layers referred to as 'hidden' in a deep learning model?,"Certain layers are referred to as 'hidden' because their values are not given in the data; instead, the model must determine which concepts are useful for explaining the relationships in the observed data."
What insight about fold 0 score does the author provide after introducing argparse in AAAMLP?,"The author notes that the fold 0 score was slightly different before introducing argparse, which is due to the randomness in the model."
What Python module does the author of AAAMLP use to pass command-line arguments to scripts?,The argparse module is used to pass command-line arguments to scripts in AAAMLP.
What does it mean for two variables to be independent?,"Two variables are independent if their probability distribution can be expressed as a product of two separate factors, one involving only one variable and another involving the other variable【25†source】."
What is the expected value or expectation in probability theory?,The expected value or expectation of a function with respect to a probability distribution is the average value that the function takes when a random variable is drawn from the distribution. It is computed with summation for discrete variables or integration for continuous variables【25†source】.
What is an identity matrix?,An identity matrix is a square matrix with ones on the diagonal and zeros elsewhere.
What changes are made to the train.py training script when utilizing the config.py file according to AAAMLP?,"The train.py script is modified to import and use the settings from config.py, such as the location of the training data file and model output directory, making it easier to modify these parameters."
What is the dimensionality of the MNIST dataset after flattening the images?,"After flattening, the dimensionality of the MNIST dataset is 70000x784."
What is a linear model in statistical learning?,"In a linear model, the response Y depends on a p-dimensional explanatory variable x via a linear relationship Y = x>β + ε."
Is matrix multiplication commutative?,"No, matrix multiplication is not commutative; AB does not always equal BA."
Under what conditions is the matrix product of two matrices A and B defined?,The matrix product of two matrices A and B is defined when A has the same number of columns as B has rows.
What is a neural network in machine learning?,A neural network in machine learning is a series of algorithms that endeavors to recognize underlying relationships in a set of data through a process that mimics the way the human brain operates.
What is 'hyperparameter optimization' in machine learning?,Hyperparameter optimization in machine learning is the process of finding the most optimal hyperparameters for a given machine learning algorithm to maximize its performance on a dataset.
What could be the impact of AI's ability to recursively improve itself?,"If AI can improve itself recursively, it could lead to an intelligence explosion, vastly surpassing human intelligence."
How does the Laplace distribution differ from the exponential distribution?,The Laplace distribution differs from the exponential distribution in that it allows for a sharp peak of probability mass at an arbitrary point µ instead of just at zero【25†source】.
What statistical information does the 'describe' method provide for quantitative features?,"For quantitative features, the 'describe' method returns the minimum, maximum, mean, standard deviation, and the three quartiles."
What does the determinant of a matrix represent?,"The determinant of a matrix is a scalar value that is a function of the entries of a square matrix. It provides important information about the matrix, such as whether it is invertible and its scaling factor on volume when it is used to transform a space."
What is 'feature extraction' in machine learning?,Feature extraction in machine learning involves transforming raw data into a set of features that are more meaningful and informative for the purposes of analysis or modeling.
What is 'time series analysis' in machine learning?,Time series analysis in machine learning involves analyzing time series data in order to extract meaningful statistics and characteristics of the data.
How can you visualize unsupervised datasets?,Unsupervised datasets can be visualized by techniques such as t-Distributed Stochastic Neighbour Embedding (t-SNE) decomposition.
What is 'transfer learning' in machine learning?,"Transfer learning in machine learning is a technique where a model developed for a task is reused as the starting point for a model on a second task, improving efficiency and performance."
What is 'data imputation' in machine learning?,"Data imputation in machine learning refers to the process of replacing missing data with substituted values, allowing algorithms to function properly when dealing with incomplete datasets."
What are the properties of a multivariate normal distribution?,"Properties of a multivariate normal distribution include affine combinations being normal, marginal distributions being normal, and conditional distributions being normal."
What is an identity matrix?,An identity matrix is a square matrix that does not change any vector when we multiply that vector by that matrix.
What is an example of regression and classification in machine learning?,"Regression could predict house prices, while classification might identify if an image shows a cat or dog."
How can supervised datasets be converted to unsupervised datasets in the context of machine learning?,Supervised datasets can be converted to unsupervised datasets for visualization purposes by plotting the data points without labels.
Define 'classification' in the context of supervised machine learning.,"Classification involves predicting a category, for example, determining whether an image is that of a dog or a cat."
Define the null space of a matrix.,"The null space of a matrix is the set of all vectors that, when multiplied by the matrix, result in the zero vector."
What is 'autoencoder' in machine learning?,"An autoencoder in machine learning is a type of artificial neural network used to learn efficient codings of unlabeled data, typically for the purpose of dimensionality reduction."
What sort of predictions does the Titanic dataset involve?,"The Titanic dataset involves predicting the survival of people aboard the Titanic based on factors like their ticket class, gender, age, etc."
What does it imply if a system of equations has more unknowns than equations?,"If a system of equations has more unknowns than equations, it implies that the system is underdetermined and could have infinitely many solutions, because there are not enough constraints to determine a unique solution."
What is a square matrix?,A square matrix is a matrix with the same number of rows and columns.
Why is supervised machine learning considered easier to tackle compared to unsupervised learning?,Supervised machine learning is considered easier to tackle because the results can be evaluated easily.
What is the significance of being able to generate the zero vector through a linear combination of columns of a matrix?,Being able to generate the zero vector through a linear combination of columns of a matrix indicates that there are non-trivial solutions that can be added to a particular solution without changing the result. This contributes to the understanding of the solution space and reveals the existence of free variables in the system.
What is the relationship between columns of a matrix and the concept of particular solutions?,"The relationship between columns of a matrix and the concept of particular solutions lies in the fact that a particular solution is obtained by finding a specific linear combination of the columns of the matrix that equals the constant vector on the right-hand side of the equation. Each column represents the coefficient of a variable in the system, and the particular solution picks specific multiples of these columns to sum up to the desired constant vector."
What is 'regularization' in machine learning?,Regularization in machine learning is a technique used to reduce overfitting by penalizing models with extreme parameter values.
What is the main focus of Chapter 1 in the book?,"Chapter 1 focuses on importing, structuring, summarizing, and visualizing data using pandas in Python, without requiring extensive mathematical knowledge."
What's the trade-off between bias and variance?,If our model is too simple and has very few parameters then it may have high bias and low variance. On the other hand if our model has large number of parameters then it’s going to have high variance and low bias. So we need to find the right/good balance without overfitting and underfitting the data.
What is gradient descent?,"Gradient descent is an optimization algorithm used to find the values of parameters (coefficients) of a function (f) that minimizes a cost function (cost).

Gradient descent is best used when the parameters cannot be calculated analytically (e.g. using linear algebra) and must be searched for by an optimization algorithm."
Explain over- and under-fitting and how to combat them?,"ML/DL models essentially learn a relationship between its given inputs(called training features) and objective outputs(called labels). Regardless of the quality of the learned relation(function), its performance on a test set(a collection of data different from the training input) is subject to investigation.

Most ML/DL models have trainable parameters which will be learned to build that input-output relationship. Based on the number of parameters each model has, they can be sorted into more flexible(more parameters) to less flexible(less parameters).

The problem of Underfitting arises when the flexibility of a model(its number of parameters) is not adequate to capture the underlying pattern in a training dataset. Overfitting, on the other hand, arises when the model is too flexible to the underlying pattern. In the later case it is said that the model has “memorized” the training data.

An example of underfitting is estimating a second order polynomial(quadratic function) with a first order polynomial(a simple line). Similarly, estimating a line with a 10th order polynomial would be an example of overfitting."
How do you combat the curse of dimensionality?,"Feature Selection(manual or via statistical methods)
Principal Component Analysis (PCA)
Multidimensional Scaling
Locally linear embedding"
"What is regularization, why do we use it, and give some examples of common methods?","A technique that discourages learning a more complex or flexible model, so as to avoid the risk of overfitting. Examples

Ridge (L2 norm)
Lasso (L1 norm)
The obvious disadvantage of ridge regression, is model interpretability. It will shrink the coefficients for least important predictors, very close to zero. But it will never make them exactly zero. In other words, the final model will include all predictors. However, in the case of the lasso, the L1 penalty has the effect of forcing some of the coefficient estimates to be exactly equal to zero when the tuning parameter λ is sufficiently large. Therefore, the lasso method also performs variable selection and is said to yield sparse models."
Explain Principal Component Analysis (PCA)?,"Principal Component Analysis (PCA) is a dimensionality reduction technique used in machine learning to reduce the number of features in a dataset while retaining as much information as possible. It works by identifying the directions (principal components) in which the data varies the most, and projecting the data onto a lower-dimensional subspace along these directions."
Why is ReLU better and more often used than Sigmoid in Neural Networks?,"Computation Efficiency: As ReLU is a simple threshold the forward and backward path will be faster.
Reduced Likelihood of Vanishing Gradient: Gradient of ReLU is 1 for positive values and 0 for negative values while Sigmoid activation saturates (gradients close to 0) quickly with slightly higher or lower inputs leading to vanishing gradients.
Sparsity: Sparsity happens when the input of ReLU is negative. This means fewer neurons are firing ( sparse activation ) and the network is lighter.
[src1] [src2]"
"Given stride S and kernel sizes for each layer of a (1-dimensional) CNN, create a function to compute the receptive field of a particular node in the network. This is just finding how many input nodes actually connect through to a neuron in a CNN.","The receptive field are defined portion of space within an inputs that will be used during an operation to generate an output.

Considering a CNN filter of size k, the receptive field of a peculiar layer is only the number of input used by the filter, in this case k, multiplied by the dimension of the input that is not being reduced by the convolutionnal filter a. This results in a receptive field of k*a.

More visually, in the case of an image of size 32x32x3, with a CNN with a filter size of 5x5, the corresponding recpetive field will be the the filter size, 5 multiplied by the depth of the input volume (the RGB colors) which is the color dimensio. This thus gives us a recpetive field of dimension 5x5x3."
Implement connected components on an image/matrix.,10) Implement a sparse matrix class in C++.
"Create a function to compute an integral image, and create another function to get area sums from the integral image.",
How would you remove outliers when trying to estimate a flat plane from noisy samples?,"Random sample consensus (RANSAC) is an iterative method to estimate parameters of a mathematical model from a set of observed data that contains outliers, when outliers are to be accorded no influence on the values of the estimates."
How does CBIR work?,"Content-based image retrieval is the concept of using images to gather metadata on their content. Compared to the current image retrieval approach based on the keywords associated to the images, this technique generates its metadata from computer vision techniques to extract the relevant informations that will be used during the querying step. Many approach are possible from feature detection to retrieve keywords to the usage of CNN to extract dense features that will be associated to a known distribution of keywords.

With this last approach, we care less about what is shown on the image but more about the similarity between the metadata generated by a known image and a list of known label and or tags projected into this metadata space."
How does image registration work? Sparse vs. dense optical flow and so on.,"15) Describe how convolution works. What about if your inputs are grayscale vs RGB imagery? What determines the shape of the next layer?
In a convolutional neural network (CNN), the convolution operation is applied to the input image using a small matrix called a kernel or filter. The kernel slides over the image in small steps, called strides, and performs element-wise multiplications with the corresponding elements of the image and then sums up the results. The output of this operation is called a feature map.

When the input is RGB(or more than 3 channels) the sliding window will be a sliding cube. The shape of the next layer is determined by Kernel size, number of kernels, stride, padding, and dialation.

[src1][src2]"
Talk me through how you would create a 3D model of an object from imagery and depth sensor measurements taken at all angles around the object.,"There are two popular methods for 3D reconstruction:

Structure from Motion (SfM) 

Multi-View Stereo (MVS) 

SfM is better suited for creating models of large scenes while MVS is better suited for creating models of small objects."
"Implement SQRT(const double & x) without using any special functions, just fundamental arithmetic.",The taylor series can be used for this step by providing an approximation of sqrt(x):
Reverse a bitstring.,"If you are using python3 :

data = b'\xAD\xDE\xDE\xC0'
my_data = bytearray(data)
my_data.reverse()"
Implement non maximal suppression as efficiently as you can.,"Non-Maximum Suppression (NMS) is a technique used to eliminate multiple detections of the same object in a given image. To solve that first sort bounding boxes based on their scores(N LogN). Starting with the box with the highest score, remove boxes whose overlapping metric(IoU) is greater than a certain threshold.(N^2)

To optimize this solution you can use special data structures to query for overlapping boxes such as R-tree or KD-tree. (N LogN)"
Reverse a linked list in place.,
What is data normalization and why do we need it?,"Data normalization is very important preprocessing step, used to rescale values to fit in a specific range to assure better convergence during backpropagation. In general, it boils down to subtracting the mean of each data point and dividing by its standard deviation. If we don't do this then some of the features (those with high magnitude) will be weighted more in the cost function (if a higher-magnitude feature changes by 1%, then that change is pretty big, but for smaller features it's quite insignificant). The data normalization makes all features weighted equally."
Why do we use convolutions for images rather than just FC layers?,"Firstly, convolutions preserve, encode, and actually use the spatial information from the image. If we used only FC layers we would have no relative spatial information. Secondly, Convolutional Neural Networks (CNNs) have a partially built-in translation in-variance, since each convolution kernel acts as it's own filter/feature detector."
What makes CNNs translation invariant?,"As explained above, each convolution kernel acts as it's own filter/feature detector. So let's say you're doing object detection, it doesn't matter where in the image the object is since we're going to apply the convolution in a sliding window fashion across the entire image anyways."
Why do we have max-pooling in classification CNNs?,for a role in Computer Vision. Max-pooling in a CNN allows you to reduce computation since your feature maps are smaller after the pooling. You don't lose too much semantic information since you're taking the maximum activation. There's also a theory that max-pooling contributes a bit to giving CNNs more translation in-variance. Check out this great video from Andrew Ng on the benefits of max-pooling.
Why do segmentation CNNs typically have an encoder-decoder style / structure?,"The encoder CNN can basically be thought of as a feature extraction network, while the decoder uses that information to predict the image segments by ""decoding"" the features and upscaling to the original image size."
What is the significance of Residual Networks?,"The main thing that residual connections did was allow for direct feature access from previous layers. This makes information propagation throughout the network much easier. One very interesting paper about this shows how using local skip connections gives the network a type of ensemble multi-path structure, giving features multiple paths to propagate throughout the network."
What is batch normalization and why does it work?,"Training Deep Neural Networks is complicated by the fact that the distribution of each layer's inputs changes during training, as the parameters of the previous layers change. The idea is then to normalize the inputs of each layer in such a way that they have a mean output activation of zero and standard deviation of one. This is done for each individual mini-batch at each layer i.e compute the mean and variance of that mini-batch alone, then normalize. This is analogous to how the inputs to networks are standardized. How does this help? We know that normalizing the inputs to a network helps it learn. But a network is just a series of layers, where the output of one layer becomes the input to the next. That means we can think of any layer in a neural network as the first layer of a smaller subsequent network. Thought of as a series of neural networks feeding into each other, we normalize the output of one layer before applying the activation function, and then feed it into the following layer (sub-network)."
Why would you use many small convolutional kernels such as 3x3 rather than a few large ones?,"This is very well explained in the VGGNet paper. There are 2 reasons: First, you can use several smaller kernels rather than few large ones to get the same receptive field and capture more spatial context, but with the smaller kernels you are using less parameters and computations. Secondly, because with smaller kernels you will be using more filters, you'll be able to use more activation functions and thus have a more discriminative mapping function being learned by your CNN."
Why do we need a validation set and test set? What is the difference between them?,"When training a model, we divide the available data into three separate sets:

The training dataset is used for fitting the model’s parameters. However, the accuracy that we achieve on the training set is not reliable for predicting if the model will be accurate on new samples.
The validation dataset is used to measure how well the model does on examples that weren’t part of the training dataset. The metrics computed on the validation data can be used to tune the hyperparameters of the model. However, every time we evaluate the validation data and we make decisions based on those scores, we are leaking information from the validation data into our model. The more evaluations, the more information is leaked. So we can end up overfitting to the validation data, and once again the validation score won’t be reliable for predicting the behaviour of the model in the real world.
The test dataset is used to measure how well the model does on previously unseen examples. It should only be used once we have tuned the parameters using the validation set.
So if we omit the test set and only use a validation set, the validation score won’t be a good estimate of the generalization of the model."
What is stratified cross-validation and when should we use it?,"Cross-validation is a technique for dividing data between training and validation sets. On typical cross-validation this split is done randomly. But in stratified cross-validation, the split preserves the ratio of the categories on both the training and validation datasets.

For example, if we have a dataset with 10% of category A and 90% of category B, and we use stratified cross-validation, we will have the same proportions in training and validation. In contrast, if we use simple cross-validation, in the worst case we may find that there are no samples of category A in the validation set.

Stratified cross-validation may be applied in the following scenarios:

On a dataset with multiple categories. The smaller the dataset and the more imbalanced the categories, the more important it will be to use stratified cross-validation.
On a dataset with data of different distributions. For example, in a dataset for autonomous driving, we may have images taken during the day and at night. If we do not ensure that both types are present in training and validation, we will have generalization problems."
Why do ensembles typically have higher scores than individual models?,"An ensemble is the combination of multiple models to create a single prediction. The key idea for making better predictions is that the models should make different errors. That way the errors of one model will be compensated by the right guesses of the other models and thus the score of the ensemble will be higher.

We need diverse models for creating an ensemble. Diversity can be achieved by:

Using different ML algorithms. For example, you can combine logistic regression, k-nearest neighbors, and decision trees.
Using different subsets of the data for training. This is called bagging.
Giving a different weight to each of the samples of the training set. If this is done iteratively, weighting the samples according to the errors of the ensemble, it’s called boosting. Many winning solutions to data science competitions are ensembles. However, in real-life machine learning projects, engineers need to find a balance between execution time and accuracy."
What is an imbalanced dataset? Can you list some ways to deal with it?,"An imbalanced dataset is one that has different proportions of target categories. For example, a dataset with medical images where we have to detect some illness will typically have many more negative samples than positive samples—say, 98% of images are without the illness and 2% of images are with the illness.

There are different options to deal with imbalanced datasets:

Oversampling or undersampling. Instead of sampling with a uniform distribution from the training dataset, we can use other distributions so the model sees a more balanced dataset.
Data augmentation. We can add data in the less frequent categories by modifying existing data in a controlled way. In the example dataset, we could flip the images with illnesses, or add noise to copies of the images in such a way that the illness remains visible.
Using appropriate metrics. In the example dataset, if we had a model that always made negative predictions, it would achieve a precision of 98%. There are other metrics such as precision, recall, and F-score that describe the accuracy of the model better when using an imbalanced dataset."
"Can you explain the differences between supervised, unsupervised, and reinforcement learning?","In supervised learning, we train a model to learn the relationship between input data and output data. We need to have labeled data to be able to do supervised learning.

With unsupervised learning, we only have unlabeled data. The model learns a representation of the data. Unsupervised learning is frequently used to initialize the parameters of the model when we have a lot of unlabeled data and a small fraction of labeled data. We first train an unsupervised model and, after that, we use the weights of the model to train a supervised model.

In reinforcement learning, the model has some input data and a reward depending on the output of the model. The model learns a policy that maximizes the reward. Reinforcement learning has been applied successfully to strategic games such as Go and even classic Atari video games."
What is data augmentation? Can you give some examples?,"Data augmentation is a technique for synthesizing new data by modifying existing data in such a way that the target is not changed, or it is changed in a known way.

Computer vision is one of fields where data augmentation is very useful. There are many modifications that we can do to images:

Resize
Horizontal or vertical flip
Rotate
Add noise
Deform
Modify colors Each problem needs a customized data augmentation pipeline. For example, on OCR, doing flips will change the text and won’t be beneficial; however, resizes and small rotations may help."
What is Turing test?,"The Turing test is a method to test the machine’s ability to match the human level intelligence. A machine is used to challenge the human intelligence that when it passes the test, it is considered as intelligent. Yet a machine could be viewed as intelligent without sufficiently knowing about people to mimic a human."
What is Precision?,"Precision (also called positive predictive value) is the fraction of relevant instances among the retrieved instances
Precision = true positive / (true positive + false positive)"
What is Recall?,Recall (also known as sensitivity) is the fraction of relevant instances that have been retrieved over the total amount of relevant instances. Recall = true positive / (true positive + false negative)
Define F1-score.,"It is the weighted average of precision and recall. It considers both false positive and false negative into account. It is used to measure the model’s performance.
F1-Score = 2 * (precision * recall) / (precision + recall)"
What is cost function?,"Cost function is a scalar functions which Quantifies the error factor of the Neural Network. Lower the cost function better the Neural network. Eg: MNIST Data set to classify the image, input image is digit 2 and the Neural network wrongly predicts it to be 3"
List different activation neurons or functions.,"Linear Neuron
Binary Threshold Neuron
Stochastic Binary Neuron
Sigmoid Neuron
Tanh function
Rectified Linear Unit (ReLU)"
Define Learning Rate.,Learning rate is a hyper-parameter that controls how much we are adjusting the weights of our network with respect the loss gradient.
What is Momentum (w.r.t NN optimization)?,"Momentum lets the optimization algorithm remembers its last step, and adds some proportion of it to the current step. This way, even if the algorithm is stuck in a flat region, or a small local minimum, it can get out and continue towards the true minimum."
What is the difference between Batch Gradient Descent and Stochastic Gradient Descent?,"Batch gradient descent computes the gradient using the whole dataset. This is great for convex, or relatively smooth error manifolds. In this case, we move somewhat directly towards an optimum solution, either local or global. Additionally, batch gradient descent, given an annealed learning rate, will eventually find the minimum located in it's basin of attraction.

Stochastic gradient descent (SGD) computes the gradient using a single sample. SGD works well (Not well, I suppose, but better than batch gradient descent) for error manifolds that have lots of local maxima/minima. In this case, the somewhat noisier gradient calculated using the reduced number of samples tends to jerk the model out of local minima into a region that hopefully is more optimal."
Epoch vs. Batch vs. Iteration.,"Epoch: one forward pass and one backward pass of all the training examples
Batch: examples processed together in one pass (forward and backward)
Iteration: number of training examples / Batch size"
What is vanishing gradient?,"As we add more and more hidden layers, back propagation becomes less and less useful in passing information to the lower layers. In effect, as information is passed back, the gradients begin to vanish and become small relative to the weights of the networks."
What are dropouts?,"Dropout is a simple way to prevent a neural network from overfitting. It is the dropping out of some of the units in a neural network. It is similar to the natural reproduction process, where the nature produces offsprings by combining distinct genes (dropping out others) rather than strengthening the co-adapting of them."
Define LSTM.,"Long Short Term Memory – are explicitly designed to address the long term dependency problem, by maintaining a state what to remember and what to forget."
List the key components of LSTM.,"Gates (forget, Memory, update & Read)
tanh(x) (values between -1 to 1)
Sigmoid(x) (values between 0 to 1)"
List the variants of RNN.,"LSTM: Long Short Term Memory
GRU: Gated Recurrent Unit
End to End Network
Memory Network"
"What is Autoencoder, name few applications.","Auto encoder is basically used to learn a compressed form of given data. Few applications include

Data denoising
Dimensionality reduction
Image reconstruction
Image colorization"
What are the components of GAN?,"Generator
Discriminator"
What's the difference between boosting and bagging?,"Boosting and bagging are similar, in that they are both ensembling techniques, where a number of weak learners (classifiers/regressors that are barely better than guessing) combine (through averaging or max vote) to create a strong learner that can make accurate predictions. Bagging means that you take bootstrap samples (with replacement) of your data set and each sample trains a (potentially) weak learner. Boosting, on the other hand, uses all data to train each learner, but instances that were misclassified by the previous learners are given more weight so that subsequent learners give more focus to them during training."
Explain how a ROC curve works.,The ROC curve is a graphical representation of the contrast between true positive rates and the false positive rate at various thresholds. It’s often used as a proxy for the trade-off between the sensitivity of the model (true positives) vs the fall-out or the probability it will trigger a false alarm (false positives).
What’s the difference between Type I and Type II error?,"Type I error is a false positive, while Type II error is a false negative. Briefly stated, Type I error means claiming something has happened when it hasn’t, while Type II error means that you claim nothing is happening when in fact something is. A clever way to think about this is to think of Type I error as telling a man he is pregnant, while Type II error means you tell a pregnant woman she isn’t carrying a baby."
